My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
076,1.143996560 ms,0,1,1,0,1,1,1,0,0,0,0
06F,1.144996480 ms,1,1,1,1,0,1,1,0,0,0,0
291,1.145996560 ms,1,0,0,0,1,0,0,1,0,1,0
3EA,1.146996480 ms,0,1,0,1,0,1,1,1,1,1,0
29F,1.147996480 ms,1,1,1,1,1,0,0,1,0,1,0
077,1.148996480 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.149996480 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.150996480 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.151996400 ms,0,1,0,1,0,1,1,1,1,1,0
29F,1.152996400 ms,1,1,1,1,1,0,0,1,0,1,0
077,1.153996320 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.154996320 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.155996240 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.156996240 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.157996240 ms,0,1,1,1,1,0,0,1,0,1,0
077,1.158996240 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.159996320 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.160996400 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.161996480 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.162996560 ms,0,1,1,1,1,0,0,1,0,1,0
077,1.163996640 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.164996720 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.165996800 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.166996800 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.167996800 ms,0,1,1,1,1,0,0,1,0,1,0
077,1.168996800 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.169996720 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.170996720 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.171996640 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.172996560 ms,0,1,1,1,1,0,0,1,0,1,0
077,1.173996560 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.174996560 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.175996560 ms,0,1,0,0,1,0,0,1,0,1,0
3EB,1.176996480 ms,1,1,0,1,0,1,1,1,1,1,0
29F,1.177996480 ms,1,1,1,1,1,0,0,1,0,1,0
077,1.178996400 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.179996480 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.180996480 ms,0,1,0,0,1,0,0,1,0,1,0
3EB,1.181996400 ms,1,1,0,1,0,1,1,1,1,1,0
29E,1.182996480 ms,0,1,1,1,1,0,0,1,0,1,0
076,1.183996560 ms,0,1,1,0,1,1,1,0,0,0,0
06F,1.184996480 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.185996560 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.186996480 ms,0,1,0,1,0,1,1,1,1,1,0
29F,1.187996480 ms,1,1,1,1,1,0,0,1,0,1,0
077,1.188996480 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.189996400 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.190996400 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.191996320 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.192996320 ms,0,1,1,1,1,0,0,1,0,1,0
077,1.193996240 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.194996240 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.195996320 ms,0,1,0,0,1,0,0,1,0,1,0
3EB,1.196996240 ms,1,1,0,1,0,1,1,1,1,1,0
29E,1.197996240 ms,0,1,1,1,1,0,0,1,0,1,0
077,1.198996240 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.199996240 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.200996320 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.201996320 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.202996320 ms,0,1,1,1,1,0,0,1,0,1,0
